	Gamma	n	P	alpha	m	l	Re	Im
0	A1	1	(-1, -1, -1)	1	-1	1	-0.40824829046386296	-0.40824829046386296
1	A1	1	(-1, -1, -1)	1	0	1	-0.5773502691896257	0.0
2	A1	1	(-1, -1, -1)	1	1	1	0.40824829046386296	-0.40824829046386296
3	A1	1	(-1, -1, 0)	1	-1	1	-0.5	-0.5
4	A1	1	(-1, -1, 0)	1	1	1	0.5	-0.5
5	A1	1	(-1, -1, 1)	1	-1	1	-0.40824829046386296	-0.40824829046386296
6	A1	1	(-1, -1, 1)	1	0	1	0.5773502691896257	0.0
7	A1	1	(-1, -1, 1)	1	1	1	0.40824829046386296	-0.40824829046386296
8	A1	1	(-1, 0, -1)	1	-1	1	-0.5	0.0
9	A1	1	(-1, 0, -1)	1	0	1	-0.7071067811865476	0.0
10	A1	1	(-1, 0, -1)	1	1	1	0.5	0.0
11	A1	1	(-1, 0, 0)	1	-1	1	-0.7071067811865476	0.0
12	A1	1	(-1, 0, 0)	1	1	1	0.7071067811865476	0.0
13	A1	1	(-1, 0, 1)	1	-1	1	-0.5	0.0
14	A1	1	(-1, 0, 1)	1	0	1	0.7071067811865476	0.0
15	A1	1	(-1, 0, 1)	1	1	1	0.5	0.0
16	A1	1	(-1, 1, -1)	1	-1	1	-0.40824829046386296	0.40824829046386296
17	A1	1	(-1, 1, -1)	1	0	1	-0.5773502691896257	0.0
18	A1	1	(-1, 1, -1)	1	1	1	0.40824829046386296	0.40824829046386296
19	A1	1	(-1, 1, 0)	1	-1	1	-0.5	0.5
20	A1	1	(-1, 1, 0)	1	1	1	0.5	0.5
21	A1	1	(-1, 1, 1)	1	-1	1	-0.40824829046386296	0.40824829046386296
22	A1	1	(-1, 1, 1)	1	0	1	0.5773502691896257	0.0
23	A1	1	(-1, 1, 1)	1	1	1	0.40824829046386296	0.40824829046386296
24	A1	1	(-2, 0, 0)	1	-1	1	-0.7071067811865476	0.0
25	A1	1	(-2, 0, 0)	1	1	1	0.7071067811865476	0.0
26	A1	1	(0, -1, -1)	1	-1	1	0.0	-0.5
27	A1	1	(0, -1, -1)	1	0	1	-0.7071067811865476	0.0
28	A1	1	(0, -1, -1)	1	1	1	0.0	-0.5
29	A1	1	(0, -1, 0)	1	-1	1	0.0	-0.7071067811865476
30	A1	1	(0, -1, 0)	1	1	1	0.0	-0.7071067811865476
31	A1	1	(0, -1, 1)	1	-1	1	0.0	-0.5
32	A1	1	(0, -1, 1)	1	0	1	0.7071067811865476	0.0
33	A1	1	(0, -1, 1)	1	1	1	0.0	-0.5
34	A1	1	(0, -2, 0)	1	-1	1	0.0	-0.7071067811865476
35	A1	1	(0, -2, 0)	1	1	1	0.0	-0.7071067811865476
36	A1	1	(0, 0, -1)	1	0	1	-1.0	0.0
37	A1	1	(0, 0, -2)	1	0	1	-1.0	0.0
38	A1	1	(0, 0, 1)	1	0	1	1.0	0.0
39	A1	1	(0, 0, 2)	1	0	1	1.0	0.0
40	A1	1	(0, 1, -1)	1	-1	1	0.0	0.5
41	A1	1	(0, 1, -1)	1	0	1	-0.7071067811865476	0.0
42	A1	1	(0, 1, -1)	1	1	1	0.0	0.5
43	A1	1	(0, 1, 0)	1	-1	1	0.0	0.7071067811865476
44	A1	1	(0, 1, 0)	1	1	1	0.0	0.7071067811865476
45	A1	1	(0, 1, 1)	1	-1	1	0.0	0.5
46	A1	1	(0, 1, 1)	1	0	1	0.7071067811865476	0.0
47	A1	1	(0, 1, 1)	1	1	1	0.0	0.5
48	A1	1	(0, 2, 0)	1	-1	1	0.0	0.7071067811865476
49	A1	1	(0, 2, 0)	1	1	1	0.0	0.7071067811865476
50	A1	1	(1, -1, -1)	1	-1	1	0.40824829046386296	-0.40824829046386296
51	A1	1	(1, -1, -1)	1	0	1	-0.5773502691896257	0.0
52	A1	1	(1, -1, -1)	1	1	1	-0.40824829046386296	-0.40824829046386296
53	A1	1	(1, -1, 0)	1	-1	1	0.5	-0.5
54	A1	1	(1, -1, 0)	1	1	1	-0.5	-0.5
55	A1	1	(1, -1, 1)	1	-1	1	0.40824829046386296	-0.40824829046386296
56	A1	1	(1, -1, 1)	1	0	1	0.5773502691896257	0.0
57	A1	1	(1, -1, 1)	1	1	1	-0.40824829046386296	-0.40824829046386296
58	A1	1	(1, 0, -1)	1	-1	1	0.5	0.0
59	A1	1	(1, 0, -1)	1	0	1	-0.7071067811865476	0.0
60	A1	1	(1, 0, -1)	1	1	1	-0.5	0.0
61	A1	1	(1, 0, 0)	1	-1	1	0.7071067811865476	0.0
62	A1	1	(1, 0, 0)	1	1	1	-0.7071067811865476	0.0
63	A1	1	(1, 0, 1)	1	-1	1	0.5	0.0
64	A1	1	(1, 0, 1)	1	0	1	0.7071067811865476	0.0
65	A1	1	(1, 0, 1)	1	1	1	-0.5	0.0
