Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1	1	1	E	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	C34+	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	C34-	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d4	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d5	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.500000)"
A1	1	1	E	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	C34+	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	C34-	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d5	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(0.500000, 0.500000, -0.500000)"
A1	1	1	E	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	C34+	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	C34-	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d4	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d5	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(0.500000, -0.500000, 0.500000)"
A1	1	1	E	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	C34+	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	C34-	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d4	1/6	"(-1, 0, -1)"	"(0, 1, 0)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d5	1/6	"(0, 1, -1)"	"(-1, 0, 0)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 1, 0)"	"(0, 0, -1)"	"(-0.500000, 0.500000, 0.500000)"
A1	1	1	E	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	C34+	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	C34-	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d4	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d5	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	sigma_d1	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(-0.500000, -0.500000, 0.500000)"
A1	1	1	E	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	C34+	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	C34-	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d5	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(-0.500000, 0.500000, -0.500000)"
A1	1	1	E	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	C34+	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	C34-	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 1, 0)"	"(-1, 0, -1)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d5	1/6	"(-1, 0, 0)"	"(0, 1, -1)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(0, 0, -1)"	"(-1, 1, 0)"	"(0.500000, -0.500000, -0.500000)"
A1	1	1	E	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	C34+	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	C34-	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d5	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(1.500000, -0.500000, -0.500000)"
A1	1	1	E	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	C34+	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	C34-	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	sigma_d5	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	sigma_d1	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(-0.500000, 1.500000, -0.500000)"
A1	1	1	E	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	C34+	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	C34-	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	sigma_d4	1/6	"(-2, 0, 0)"	"(1, 1, -1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	sigma_d5	1/6	"(0, 0, -2)"	"(-1, 1, 1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	sigma_d1	1/6	"(0, 2, 0)"	"(-1, -1, -1)"	"(-0.500000, -0.500000, 1.500000)"
A1	1	1	E	1/6	"(0, 0, 0)"	"(-1, 1, -1)"	"(-0.500000, -0.500000, -0.500000)"
A1	1	1	C34+	1/6	"(0, 0, 0)"	"(-1, 1, -1)"	"(-0.500000, -0.500000, -0.500000)"
A1	1	1	C34-	1/6	"(0, 0, 0)"	"(-1, 1, -1)"	"(-0.500000, -0.500000, -0.500000)"
A1	1	1	sigma_d4	1/6	"(0, 0, 0)"	"(-1, 1, -1)"	"(-0.500000, -0.500000, -0.500000)"
