Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
T1u	1	1	E	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C2x	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C2y	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C2z	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C4y+	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C4y-	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C2c`	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	C2e`	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	i	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	sigma_x	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	sigma_y	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	sigma_z	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	S4y-	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	S4y+	-1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	sigma_d3	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	sigma_d5	1/16	"(0, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.000000)"
T1u	1	1	E	1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C2x	-1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C2y	1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C2z	-1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C4y+	1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C4y-	1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C2c`	-1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	C2e`	-1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	i	-1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	sigma_x	1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	sigma_y	-1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	sigma_z	1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	S4y-	-1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	S4y+	-1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	sigma_d3	1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	sigma_d5	1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.000000)"
T1u	1	1	E	1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C2x	-1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C2y	1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C2z	-1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C4y+	1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C4y-	1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C2c`	-1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	C2e`	-1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	i	-1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	sigma_x	1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	sigma_y	-1/16	"(0, 0, -1)"	"(0, 0, 1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	sigma_z	1/16	"(0, 0, 1)"	"(0, 0, -1)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	S4y-	-1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	S4y+	-1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	sigma_d3	1/16	"(1, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	sigma_d5	1/16	"(-1, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -1.000000)"
T1u	1	1	E	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C2x	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C2y	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C2z	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C4y+	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C4y-	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C2c`	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	C2e`	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	i	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	sigma_x	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	sigma_y	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	sigma_z	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	S4y-	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	S4y+	-1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	sigma_d3	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	sigma_d5	1/16	"(0, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.000000)"
T1u	1	1	E	1/16	"(0, -1, 0)"	"(0, 1, 0)"	"(0.000000, -1.000000, 0.000000)"
